	Movie Name	Release Year	Directors Name	Production Company	Budget
227	('Sweeney Todd: The Demon Barber of Fleet Street', '/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film)')	('2007', '/wiki/2007_in_film')			
228	('The Golden Compass', '/wiki/The_Golden_Compass_(film)')	('2007', '/wiki/2007_in_film')			
229	('Elizabeth: The Golden Age', '/wiki/Elizabeth:_The_Golden_Age')	('2007', '/wiki/2007_in_film')			
230	('Taxi to the Dark Side', '/wiki/Taxi_to_the_Dark_Side')	('2007', '/wiki/2007_in_film')			
231	('Peter & the Wolf', '/wiki/Peter_%26_the_Wolf_(2006_film)')	('2007', '/wiki/2007_in_film')			
232	('Once', '/wiki/Once_(film)')	('2007', '/wiki/2007_in_film')			
233	('Le Mozart des pickpockets', '/wiki/Le_Mozart_des_pickpockets')	('2007', '/wiki/2007_in_film')			
234	('The Counterfeiters (Die Fälscher)', '/wiki/The_Counterfeiters_(2007_film)')	('2007', '/wiki/2007_in_film')			
235	('Freeheld', '/wiki/Freeheld_(2007_film)')	('2007', '/wiki/2007_in_film')			
236	('The Departed', '/wiki/The_Departed')	('2006', '/wiki/2006_in_film')			
237	"(""Pan's Labyrinth (El laberinto del fauno)"", '/wiki/Pan%27s_Labyrinth')"	('2006', '/wiki/2006_in_film')			
238	('Dreamgirls', '/wiki/Dreamgirls_(film)')	('2006', '/wiki/2006_in_film')			
239	('Little Miss Sunshine', '/wiki/Little_Miss_Sunshine')	('2006', '/wiki/2006_in_film')			
240	('An Inconvenient Truth', '/wiki/An_Inconvenient_Truth')	('2006', '/wiki/2006_in_film')			
241	('Babel', '/wiki/Babel_(film)')	('2006', '/wiki/2006_in_film')			
242	('The Queen', '/wiki/The_Queen_(2006_film)')	('2006', '/wiki/2006_in_film')			
243	('Letters from Iwo Jima', '/wiki/Letters_from_Iwo_Jima')	('2006', '/wiki/2006_in_film')			
244	"(""Pirates of the Caribbean: Dead Man's Chest"", '/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest')"	('2006', '/wiki/2006_in_film')			
245	('The Danish Poet', '/wiki/The_Danish_Poet')	('2006', '/wiki/2006_in_film')			
246	('Happy Feet', '/wiki/Happy_Feet')	('2006', '/wiki/2006_in_film')			
247	('The Last King of Scotland', '/wiki/The_Last_King_of_Scotland_(film)')	('2006', '/wiki/2006_in_film')			
248	('The Lives of Others (Das Leben der Anderen)', '/wiki/The_Lives_of_Others')	('2006', '/wiki/2006_in_film')			
249	('Marie Antoinette', '/wiki/Marie_Antoinette_(2006_film)')	('2006', '/wiki/2006_in_film')			
250	('West Bank Story', '/wiki/West_Bank_Story')	('2006', '/wiki/2006_in_film')			
